Code, Mountain, Province, Description
MT01, Ham Rong Mountain, Lao Cai, Located near the center of Sa Pa town. The highest point is 1850m above sea level.
MT02, Doi Bo Mountain, Lao Cai, 
MT03, Pha Luong Mountain, Son La, Nearly 2000m above sea level. Pha Luong is known by many as the Roof of Moc Chau.
MT04, Hon Vuon Mountain, Hue, 
MT05, Da Do Mountain, Ninh Thuan, 
MT06, Da Bia Mountain, Phu Yen, 
MT07, Chu Hreng Mountain, Kon Tum, 
MT08, Lang Biang Mountain, Lam Dong, 
MT09, Ta Nang Mountain, Lam Dong, 
MT10, Cam Mountain, An Giang, 
MT11, Thi Vai Mountain, Vung Tau, 
MT12, Dinh Mountain, Vung Tau, 
MT13, Co Tien Mountain, Khanh Hoa,  The mountain has 3 peaks; when participating you only need to conquer peak 1; it is recommended to conquer peak 2 or 3 (with steeper slopes and more challenging cliffs)
